"id","label"
1140,"gestion d'entreprise"
1141,"gestion de l'espace"
1142,"gestion des déchets"
1143,"gestion des pêches"
1144,"gestion des ressources"
1145,"gestion du matériel"
1146,alcoolisme
1147,"administration du personnel"
1148,"gestion financière"
1149,"gestion prévisionnelle"
1150,Ghana
1151,gibier
1152,Gibraltar
1153,glace
1154,glucose
1155,golfe
1156,gouvernement
1157,"gouvernement en exil"
1158,"gouvernement insurrectionnel"
1159,"graisse alimentaire"
1160,"graisse industrielle"
1161,Alentejo
1162,"grande entreprise"
1163,"grande exploitation"
1164,"Grandes Antilles"
1165,"gratuité des soins"
1166,Grèce
1167,"Grèce centrale"
1168,"régions de la Grèce"
1169,Grenade
1170,grève
1171,Algarve
1172,Groenland
1173,Groningue
1174,"Communauté andine"
1175,"pays de la Communauté andine"
1176,"groupe d'intérêt"
1177,"groupe de sociétés"
1178,"groupe des Dix"
1179,"accord ADR"
1180,Algérie
1181,"groupe politique"
1182,"mouvement pour les droits de l'homme"
1183,"groupement d'achat"
1184,"groupement d'intérêt économique"
1185,"groupement de producteurs"
1186,"groupe ethnique"
1187,algue
1188,"groupe linguistique"
1189,gruau
1190,Guadeloupe
1191,Guatemala
1192,Gueldre
1193,guerre
1194,"guerre civile"
1195,"guerre d'indépendance"
1196,"guerre de frontière"
1197,"guerre froide"
1198,"guerre nucléaire"
1199,Guinée
1200,Guinée-Bissau
1201,"Guinée équatoriale"
1202,Guyana
1203,"Guyane française"
1204,habitat
1205,"habitat rural"
1206,"habitat urbain"
1207,"aliment du bétail"
1208,"habitude alimentaire"
1209,"habitude d'achat"
1210,"province du Hainaut"
1211,Haïti
1212,halogène
1213,Hambourg
1214,handicapé
1215,"harmonisation douanière"
1216,"aliment industriel"
1217,"harmonisation fiscale"
1218,Haute-Normandie
1219,Burkina
1220,Hawaï
1221,hélicoptère
1222,Hesse
1223,"aliment pour enfant"
1224,"heure d'été"
1225,"heure des questions"
1226,"heure supplémentaire"
1227,hindouisme
1228,histoire
1229,histologie
1230,holding
1231,Hollande-Méridionale
1232,Hollande-Septentrionale
1233,"aliment préparé"
1234,homicide
1235,homologation
1236,Honduras
1237,"Hong Kong"
1238,Hongrie
1239,"établissement psychiatrique"
1240,"horaire de travail"
1241,"aliment transformé"
1242,"horaire variable"
1243,horticulture
1244,houblon
1245,"huile animale"
1246,"huile d'arachide"
1247,"huile d'olive"
1248,"huile de poisson"
1249,"huile lourde"
1250,"huile minérale"
1251,nutrition
1252,"huile usagée"
1253,"huile végétale"
1254,huilerie
1255,huissier
1256,"humanisation du travail"
1257,hydrocarbure
1258,hydrogène
1259,hydrogéologie
1260,"alimentation animale"
1261,hydrologie
1262,"hygiène alimentaire"
1263,"santé au travail"
1264,hypothèque
1265,"idéologie politique"
1266,"accord AETR"
1267,"alimentation humaine"
1268,igname
1269,"Institut international de planification de l'éducation"
1270,île
1271,Île-de-France
1272,Guam
